XM_057820368.1	Corythoichthys intestinalis
XM_057817829.1	Corythoichthys intestinalis
XM_057860194.1	Corythoichthys intestinalis
XM_057860111.1	Corythoichthys intestinalis
XM_057855518.1	Corythoichthys intestinalis
XM_057855517.1	Corythoichthys intestinalis
XM_057853712.1	Corythoichthys intestinalis
XM_057852214.1	Corythoichthys intestinalis
XM_057847723.1	Corythoichthys intestinalis
XM_057847716.1	Corythoichthys intestinalis
XM_057847706.1	Corythoichthys intestinalis
PP763378.1	Anguilla japonica
LC815108.1	Diaphus suborbitalis
LC815107.1	Paraplagusia japonica
LC815106.1	Cyclothone atraria
LC815105.1	Chlorophthalmus agassizi
LC815104.1	Opisthoproctus soleatus
LC815103.1	Bolinichthys indicus
LC815102.1	Ceratoscopelus townsendi
LC815100.1	Glyptocephalus kitaharae
LC815099.1	Semicossyphus reticulatus
OQ843502.1	Ecsenius prooculis
OQ843501.1	Ecsenius shirleyae
OQ843500.1	Ecsenius schroederi
OQ843499.1	Ecsenius oculatus
OQ843498.1	Ecsenius pictus
OQ843497.1	Ecsenius pardus
OQ843496.1	Ecsenius portenoyi
OQ832504.1	Ecsenius yaeyamaensis
OQ832499.1	Ecsenius springeri
OQ832498.1	Ecsenius springeri
OQ832497.1	Ecsenius springeri
OQ832501.1	Ecsenius taeniatus
OQ832500.1	Ecsenius taeniatus
OQ832503.1	Ecsenius isos
OQ832502.1	Ecsenius isos
OQ800988.1	Ecsenius midas
OQ800987.1	Ecsenius bimaculatus
OQ800986.1	Ecsenius fijiensis
OQ800985.1	Ecsenius bicolor
LC421685.1	Zoramia leptacanthus
LC021121.1	Zoramia leptacanthus
AB206136.1	Zoramia leptacanthus
LC814583.1	Pseudolabrus sieboldi
LC814582.1	Careproctus melanurus
LC814581.1	Protomyctophum thompsoni
LC814580.1	Stenobrachius nannochir
LC814579.1	Diaphus kuroshio
LC710272.1	Yongeichthys audax
LC278072.1	Ceratoscopelus warmingii
LC145983.1	Diaphus fulgens
LC104736.1	Bregmaceros japonicus
LC104735.1	Bregmaceros japonicus
LC104571.1	Liparis gibbus
OQ825962.1	Proscelotes aenea
OQ813504.1	Microcarbo niger
OQ813503.1	Microcarbo melanoleucos
OQ813502.1	Microcarbo coronatus
OQ813501.1	Microcarbo africanus
LC026747.1	Scorpaenopsis oxycephalus
XM_064583653.1	Mirounga angustirostris
XM_064583652.1	Mirounga angustirostris
XM_064583651.1	Mirounga angustirostris
XM_045889509.2	Mirounga angustirostris
XM_045889508.2	Mirounga angustirostris
XM_064583198.1	Mirounga angustirostris
XM_045889436.3	Mirounga angustirostris
XM_054511125.2	Mirounga angustirostris
XM_045890020.3	Mirounga angustirostris
XM_064582589.1	Mirounga angustirostris
XM_064582588.1	Mirounga angustirostris
XM_064582378.1	Mirounga angustirostris
XR_010408421.1	Mirounga angustirostris
XM_045891339.3	Mirounga angustirostris
XM_064580804.1	Mirounga angustirostris
XM_064580803.1	Mirounga angustirostris
XM_064580802.1	Mirounga angustirostris
XM_045891105.3	Mirounga angustirostris
XM_064576726.1	Mirounga angustirostris
XM_045893987.3	Mirounga angustirostris
XM_045893986.3	Mirounga angustirostris
XM_064576725.1	Mirounga angustirostris
XR_010406294.1	Mirounga angustirostris
XM_064574552.1	Mirounga angustirostris
XM_045882398.2	Mirounga angustirostris
XR_008508103.2	Mirounga angustirostris
XR_008508102.2	Mirounga angustirostris
XR_008508099.2	Mirounga angustirostris
XR_008508096.2	Mirounga angustirostris
XR_008508097.2	Mirounga angustirostris
XM_045900690.3	Mirounga angustirostris
XM_045901865.2	Mirounga angustirostris
XM_064596229.1	Mirounga angustirostris
XM_054512387.2	Mirounga angustirostris
XM_045896401.3	Mirounga angustirostris
XM_045896385.3	Mirounga angustirostris
XM_045896394.3	Mirounga angustirostris
XM_045896374.3	Mirounga angustirostris
XM_064594120.1	Mirounga angustirostris
XM_045877156.3	Mirounga angustirostris
XM_045877155.3	Mirounga angustirostris
XM_045872944.3	Mirounga angustirostris
XM_064590741.1	Mirounga angustirostris
XM_064590740.1	Mirounga angustirostris
XM_045896010.3	Mirounga angustirostris
XM_045881054.3	Mirounga angustirostris
XM_045902371.3	Mirounga angustirostris
XM_064597580.1	Mirounga angustirostris
XM_054504145.2	Mirounga angustirostris
XM_054504144.2	Mirounga angustirostris
XM_064596628.1	Mirounga angustirostris
XM_054504143.2	Mirounga angustirostris
XM_045902745.3	Mirounga angustirostris
XM_054510882.1	Mirounga angustirostris
XM_045889178.2	Mirounga angustirostris
XM_045902746.2	Mirounga angustirostris
XM_045898036.2	Mirounga angustirostris
